Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year
Georgia,4.252,0.83792,0.64035,0.32461,0.3188,0.06786,0.19249,2016
Congo (Brazzaville),4.236,0.77109,0.28212,0.37938,0.09753,0.12077,0.47799,2016
Senegal,4.219,0.44314,0.40457,0.31056,0.11681,0.19103,0.77416,2016
Bulgaria,4.217,1.11306,0.67806,0.21219,0.00615,0.12793,0.92542,2016
Mauritania,4.201,0.61391,0.28639,0.1268,0.17955,0.22686,0.84142,2016
Zimbabwe,4.193,0.35041,0.1595,0.25429,0.08582,0.18503,0.71478,2016
Malawi,4.156,0.08709,0.29364,0.4143,0.07564,0.30968,0.147,2016
Sudan,4.139,0.63069,0.29759,0.0,0.10039,0.18077,0.81928,2016
Gabon,4.121,1.15851,0.3494,0.28098,0.09314,0.06244,0.72368,2016
Mali,4.073,0.31292,0.16347,0.27544,0.13647,0.21064,0.86333,2016
Haiti,4.028,0.34097,0.27494,0.12072,0.14476,0.47958,0.29561,2016
Botswana,3.974,1.09426,0.34752,0.44089,0.10769,0.12425,0.89186,2016
Comoros,3.956,0.27509,0.29981,0.15412,0.18437,0.1827,0.60323,2016
Ivory Coast,3.916,0.55507,0.04476,0.40663,0.1553,0.20338,0.57576,2016
Cambodia,3.907,0.55604,0.42494,0.58852,0.08092,0.40339,0.5375,2016
Angola,3.866,0.84731,0.04991,0.00589,0.08434,0.12071,0.66366,2016
Niger,3.856,0.1327,0.26162,0.38041,0.17176,0.2097,0.6053,2016
South Sudan,3.832,0.39394,0.15781,0.19662,0.13015,0.25899,0.18519,2016
Chad,3.763,0.42214,0.03824,0.12807,0.04952,0.18667,0.63178,2016
Burkina Faso,3.739,0.31995,0.21297,0.3337,0.12533,0.24353,0.63054,2016
Uganda,3.739,0.34719,0.19625,0.43653,0.06442,0.27102,0.90981,2016
Yemen,3.724,0.57939,0.31048,0.2287,0.05892,0.09821,0.47493,2016
Madagascar,3.695,0.27954,0.37109,0.13684,0.07506,0.2204,0.46115,2016
Tanzania,3.666,0.47155,0.357,0.3176,0.05099,0.31472,0.77623,2016
Liberia,3.622,0.10706,0.23165,0.25748,0.04852,0.24063,0.50353,2016
Guinea,3.607,0.22415,0.18829,0.30953,0.1192,0.29914,0.3109,2016
Rwanda,3.515,0.32846,0.31865,0.5432,0.50521,0.23552,0.61586,2016
Benin,3.484,0.39499,0.21028,0.39747,0.06681,0.2018,0.10419,2016
Afghanistan,3.36,0.38227,0.17344,0.1643,0.07112,0.31268,0.11037,2016
Togo,3.303,0.28123,0.24811,0.34678,0.11587,0.17517,0.0,2016
Syria,3.069,0.74719,0.62994,0.06912,0.17233,0.48397,0.14866,2016
Burundi,2.905,0.06831,0.15747,0.0432,0.09419,0.2029,0.23442,2016
Norway,7.53700017929077,1.61646318435669,0.796666502952576,0.635422587394714,0.315963834524155,0.36201223731041,1.53352355957031,2017
Denmark,7.52199983596802,1.48238301277161,0.792565524578094,0.626006722450256,0.40077006816864,0.355280488729477,1.55112159252167,2017
Iceland,7.50400018692017,1.480633020401,0.833552122116089,0.627162635326385,0.153526559472084,0.475540220737457,1.6105740070343,2017
